Date,Fans
2015-01-04T08:00:00+0000,11088289
2015-01-05T08:00:00+0000,11090944
2015-01-06T08:00:00+0000,11093432
2015-01-07T08:00:00+0000,11095766
2015-01-08T08:00:00+0000,11098111
2015-01-09T08:00:00+0000,11101356
2015-01-10T08:00:00+0000,11104501
2015-01-11T08:00:00+0000,11106519
2015-01-12T08:00:00+0000,11108368
2015-01-13T08:00:00+0000,11110105
2015-01-14T08:00:00+0000,11111505
2015-01-15T08:00:00+0000,11113055
2015-01-16T08:00:00+0000,11114593
2015-01-17T08:00:00+0000,11116877
2015-01-18T08:00:00+0000,11119040
2015-01-19T08:00:00+0000,11120483
2015-01-20T08:00:00+0000,11121665
2015-01-21T08:00:00+0000,11123218
2015-01-22T08:00:00+0000,11124316
2015-01-23T08:00:00+0000,11125700
2015-01-24T08:00:00+0000,11126620
2015-01-25T08:00:00+0000,11128200
2015-01-26T08:00:00+0000,11127615
2015-01-27T08:00:00+0000,11130625
2015-01-28T08:00:00+0000,11131756
2015-01-29T08:00:00+0000,11132829
2015-01-30T08:00:00+0000,11133860
2015-01-31T08:00:00+0000,11137564
2015-02-01T08:00:00+0000,11140583
2015-02-02T08:00:00+0000,11142202
2015-02-03T08:00:00+0000,11143641
2015-02-04T08:00:00+0000,11144878
2015-02-05T08:00:00+0000,11146588
2015-02-06T08:00:00+0000,11148255
2015-02-07T08:00:00+0000,11149880
2015-02-08T08:00:00+0000,11151481
2015-02-09T08:00:00+0000,11152967
2015-02-10T08:00:00+0000,11154599
2015-02-11T08:00:00+0000,11156141
2015-02-12T08:00:00+0000,11157506
2015-02-13T08:00:00+0000,11158376
2015-02-14T08:00:00+0000,11159454
2015-02-15T08:00:00+0000,11160312
2015-02-16T08:00:00+0000,11161148
2015-02-17T08:00:00+0000,11162086
2015-02-18T08:00:00+0000,11163135
2015-02-19T08:00:00+0000,11164042
2015-02-20T08:00:00+0000,11164805
2015-02-21T08:00:00+0000,11165859
2015-02-22T08:00:00+0000,11167061
2015-02-23T08:00:00+0000,11168176
2015-02-24T08:00:00+0000,11168536
2015-02-25T08:00:00+0000,11168250
2015-02-26T08:00:00+0000,11167561
2015-02-27T08:00:00+0000,11166701
2015-02-28T08:00:00+0000,11166213
2015-03-01T08:00:00+0000,11165572
2015-03-02T08:00:00+0000,11164929
2015-03-03T08:00:00+0000,11164089
2015-03-04T08:00:00+0000,11163183
2015-03-05T08:00:00+0000,11162491
2015-03-06T08:00:00+0000,11161651
2015-03-07T08:00:00+0000,11160733
2015-03-08T08:00:00+0000,11159484
2015-03-09T07:00:00+0000,11159006
2015-03-10T07:00:00+0000,11159734
2015-03-11T07:00:00+0000,11169787
2015-03-12T07:00:00+0000,11174026
2015-03-13T07:00:00+0000,11176100
2015-03-14T07:00:00+0000,11177571
2015-03-15T07:00:00+0000,11178378
2015-03-16T07:00:00+0000,11179077
2015-03-17T07:00:00+0000,11179772
2015-03-18T07:00:00+0000,11135973
2015-03-19T07:00:00+0000,11027504
2015-03-20T07:00:00+0000,10602416
2015-03-21T07:00:00+0000,10603524
2015-03-22T07:00:00+0000,10604129
2015-03-23T07:00:00+0000,10605134
2015-03-24T07:00:00+0000,10606711
2015-03-25T07:00:00+0000,10608327
2015-03-26T07:00:00+0000,10610077
2015-03-27T07:00:00+0000,10611618
2015-03-28T07:00:00+0000,10613141
2015-03-29T07:00:00+0000,10614908
2015-03-30T07:00:00+0000,10616864
2015-03-31T07:00:00+0000,10618817
2015-04-01T07:00:00+0000,10620872
2015-04-02T07:00:00+0000,10620892
2015-04-03T07:00:00+0000,10623695
2015-04-04T07:00:00+0000,10624569
2015-04-05T07:00:00+0000,10625958
2015-04-06T07:00:00+0000,10627060
2015-04-07T07:00:00+0000,10628859
2015-04-08T07:00:00+0000,10630961
2015-04-09T07:00:00+0000,10632768
2015-04-10T07:00:00+0000,10635100
2015-04-11T07:00:00+0000,10638075
2015-04-12T07:00:00+0000,10640457
2015-04-13T07:00:00+0000,10643712
2015-04-14T07:00:00+0000,10645491
2015-04-15T07:00:00+0000,10645693
2015-04-16T07:00:00+0000,10647659
2015-04-17T07:00:00+0000,10648710
2015-04-18T07:00:00+0000,10649558
2015-04-19T07:00:00+0000,10650596
2015-04-20T07:00:00+0000,10651790
2015-04-21T07:00:00+0000,10652761
2015-04-22T07:00:00+0000,10653387
2015-04-23T07:00:00+0000,10653834
2015-04-24T07:00:00+0000,10654552
2015-04-25T07:00:00+0000,10655018
2015-04-26T07:00:00+0000,10655658
2015-04-27T07:00:00+0000,10656370
2015-04-28T07:00:00+0000,10657386
2015-04-29T07:00:00+0000,10658266
2015-04-30T07:00:00+0000,10658961
2015-05-01T07:00:00+0000,10660282
2015-05-02T07:00:00+0000,10662461
2015-05-03T07:00:00+0000,10669090
2015-05-04T07:00:00+0000,10672468
